Unnamed: 0,timestamp,meter_reading,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_speed,wind_direction_sin,wind_direction_cos,air_temperature1
704,2016-01-30 08:00:00,43.6839,8.3,0.0,6.1,0.0,1019.0,2.1,-0.6427876096865393,-0.766044443118978,-2.299999999999999
725,2016-01-31 05:00:00,37.5408,12.8,0.0,10.0,0.0,1021.9,0.0,0.0,1.0,-1.0999999999999996
737,2016-01-31 17:00:00,52.5571,20.6,0.0,11.7,0.0,1020.9,1.5,0.9396926207859084,-0.3420201433256687,1.7000000000000028
2366,2016-04-08 14:00:00,59.3827,21.7,2.0,14.4,0.0,1015.1,3.1,-0.9396926207859082,-0.3420201433256694,2.8000000000000007
2923,2016-05-01 19:00:00,448.0,31.1,0.0,17.2,0.0,1016.1,4.1,0.984807753012208,-0.1736481776669303,1.1000000000000014
3378,2016-05-20 18:00:00,232.753,25.0,8.0,18.3,0.0,1017.9,10.3,-0.6427876096865396,0.7660444431189778,-5.600000000000001
3379,2016-05-20 19:00:00,277.802,25.6,0.0,18.9,0.0,1017.1,5.7,-0.3420201433256686,0.9396926207859084,0.6000000000000014
3380,2016-05-20 20:00:00,238.896,28.3,0.0,19.4,0.0,1017.0,3.6,0.49999999999999994,0.8660254037844387,2.6999999999999993
3381,2016-05-20 21:00:00,240.944,30.0,0.0,18.9,0.0,1016.5,5.1,0.9396926207859083,0.3420201433256688,1.6999999999999993
3382,2016-05-20 22:00:00,252.547,27.8,0.0,20.0,0.0,1016.1,5.7,0.984807753012208,-0.1736481776669303,-2.1999999999999993
3383,2016-05-20 23:00:00,236.166,27.2,0.0,19.4,0.0,1016.7,0.0,0.0,1.0,-0.6000000000000014
3384,2016-05-21 00:00:00,249.817,26.7,6.0,19.4,0.0,1017.5,0.0,0.0,1.0,-0.5
3385,2016-05-21 01:00:00,246.404,25.6,0.0,20.6,0.0,1017.9,0.0,0.0,1.0,-1.0999999999999979
3386,2016-05-21 02:00:00,247.087,26.1,0.0,20.0,0.0,1018.3,1.5,-0.984807753012208,-0.17364817766693033,0.5
3387,2016-05-21 03:00:00,252.547,25.0,0.0,20.6,0.0,1018.3,0.0,0.0,1.0,-1.1000000000000014
3388,2016-05-21 04:00:00,244.357,25.0,0.0,20.6,0.0,1018.6,1.5,-0.8660254037844386,0.5000000000000001,0.0
3389,2016-05-21 05:00:00,260.738,23.9,0.0,20.6,0.0,1018.2,4.1,-0.7660444431189781,0.6427876096865393,-1.1000000000000014
3390,2016-05-21 06:00:00,247.769,23.3,8.0,20.6,0.0,1017.7,1.5,-0.9396926207859082,-0.3420201433256694,-0.5999999999999979
3391,2016-05-21 07:00:00,253.23,22.8,0.0,21.1,5.0,1015.1,5.1,0.49999999999999994,-0.8660254037844387,-0.5
3392,2016-05-21 08:00:00,273.024,22.8,0.0,21.1,0.0,1015.0,2.1,1.2246467991473532e-16,-1.0,0.0
3393,2016-05-21 09:00:00,314.66,22.8,0.0,21.1,0.0,1015.1,0.0,0.0,1.0,0.0
3394,2016-05-21 10:00:00,311.93,23.3,0.0,21.7,0.0,1015.9,0.0,0.0,1.0,0.5
3395,2016-05-21 11:00:00,302.374,22.2,0.0,21.1,0.0,1016.1,0.0,0.0,1.0,-1.1000000000000014
3396,2016-05-21 12:00:00,301.692,23.3,6.0,21.1,0.0,1016.6,0.0,0.0,1.0,1.1000000000000014
3397,2016-05-21 13:00:00,300.327,25.0,0.0,21.7,0.0,1017.2,2.6,-0.984807753012208,-0.17364817766693033,1.6999999999999993
3398,2016-05-21 14:00:00,293.501,26.1,0.0,21.7,0.0,1017.6,3.1,-1.0,-1.8369701987210297e-16,1.1000000000000014
3399,2016-05-21 15:00:00,292.818,26.7,0.0,21.1,0.0,1017.5,3.1,-0.984807753012208,-0.17364817766693033,0.5999999999999979
3400,2016-05-21 16:00:00,294.866,27.8,0.0,20.6,0.0,1017.5,4.1,-0.984807753012208,-0.17364817766693033,1.1000000000000014
3401,2016-05-21 17:00:00,309.2,28.3,0.0,20.6,0.0,1016.8,2.1,-1.0,-1.8369701987210297e-16,0.5
3402,2016-05-21 18:00:00,302.374,30.0,6.0,20.6,0.0,1016.0,5.1,-0.6427876096865393,-0.766044443118978,1.6999999999999993
3403,2016-05-21 19:00:00,306.469,30.0,0.0,20.6,0.0,1015.2,5.1,-0.9396926207859085,0.34202014332566816,0.0
3404,2016-05-21 20:00:00,235.483,32.2,4.0,20.0,0.0,1014.2,6.7,-0.9396926207859085,0.34202014332566816,2.200000000000003
3405,2016-05-21 21:00:00,242.30900000000003,31.7,4.0,18.3,0.0,1013.6,5.7,-0.9396926207859085,0.34202014332566816,-0.5000000000000036
3406,2016-05-21 22:00:00,244.357,31.7,2.0,18.3,0.0,1013.4,5.1,-0.9848077530122081,0.17364817766692997,0.0
3407,2016-05-21 23:00:00,255.96,30.6,2.0,17.2,0.0,1013.1,6.2,-1.0,-1.8369701987210297e-16,-1.0999999999999979
3408,2016-05-22 00:00:00,251.182,28.9,2.0,17.2,0.0,1013.6,4.1,-0.9396926207859085,0.34202014332566816,-1.7000000000000028
3409,2016-05-22 01:00:00,264.151,26.7,2.0,17.8,0.0,1014.1,2.1,-0.9848077530122081,0.17364817766692997,-2.1999999999999993
3410,2016-05-22 02:00:00,245.039,25.6,0.0,17.8,0.0,1014.7,2.6,-1.0,-1.8369701987210297e-16,-1.0999999999999979
3411,2016-05-22 03:00:00,253.23,25.0,2.0,18.3,0.0,1014.9,2.6,-0.984807753012208,-0.17364817766693033,-0.6000000000000014
3412,2016-05-22 04:00:00,252.547,24.4,2.0,18.9,0.0,1014.8,3.6,-0.9848077530122081,0.17364817766692997,-0.6000000000000014
3413,2016-05-22 05:00:00,251.182,23.9,0.0,19.4,0.0,1014.3,1.5,-0.984807753012208,-0.17364817766693033,-0.5
3414,2016-05-22 06:00:00,252.547,22.8,0.0,19.4,0.0,1014.1,2.1,-1.0,-1.8369701987210297e-16,-1.0999999999999979
3415,2016-05-22 07:00:00,241.626,22.2,0.0,20.0,0.0,1013.7,2.6,-0.984807753012208,-0.17364817766693033,-0.6000000000000014
3416,2016-05-22 08:00:00,322.168,22.8,0.0,20.6,0.0,1013.4,2.1,-1.0,-1.8369701987210297e-16,0.6000000000000014
