Unnamed: 0,timestamp,meter_reading,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_speed,wind_direction_sin,wind_direction_cos,air_temperature1,hour
704,2016-01-30 08:00:00,43.6839,8.3,0.0,6.1,0.0,1019.0,2.1,-0.6427876096865393,-0.766044443118978,-2.299999999999999,8
725,2016-01-31 05:00:00,37.5408,12.8,0.0,10.0,0.0,1021.9,0.0,0.0,1.0,-1.0999999999999996,5
737,2016-01-31 17:00:00,52.5571,20.6,0.0,11.7,0.0,1020.9,1.5,0.9396926207859084,-0.3420201433256687,1.7000000000000028,17
2366,2016-04-08 14:00:00,59.3827,21.7,2.0,14.4,0.0,1015.1,3.1,-0.9396926207859082,-0.3420201433256694,2.8000000000000007,14
2923,2016-05-01 19:00:00,448.0,31.1,0.0,17.2,0.0,1016.1,4.1,0.984807753012208,-0.1736481776669303,1.1000000000000014,19
3378,2016-05-20 18:00:00,232.753,25.0,8.0,18.3,0.0,1017.9,10.3,-0.6427876096865396,0.7660444431189778,-5.600000000000001,18
3379,2016-05-20 19:00:00,277.802,25.6,0.0,18.9,0.0,1017.1,5.7,-0.3420201433256686,0.9396926207859084,0.6000000000000014,19
3380,2016-05-20 20:00:00,238.896,28.3,0.0,19.4,0.0,1017.0,3.6,0.4999999999999999,0.8660254037844387,2.6999999999999997,20
3381,2016-05-20 21:00:00,240.944,30.0,0.0,18.9,0.0,1016.5,5.1,0.9396926207859084,0.3420201433256688,1.6999999999999993,21
3382,2016-05-20 22:00:00,252.547,27.8,0.0,20.0,0.0,1016.1,5.7,0.984807753012208,-0.1736481776669303,-2.1999999999999997,22
3383,2016-05-20 23:00:00,236.166,27.2,0.0,19.4,0.0,1016.7,0.0,0.0,1.0,-0.6000000000000014,23
3384,2016-05-21 00:00:00,249.817,26.7,6.0,19.4,0.0,1017.5,0.0,0.0,1.0,-0.5,0
3385,2016-05-21 01:00:00,246.404,25.6,0.0,20.6,0.0,1017.9,0.0,0.0,1.0,-1.099999999999998,1
3386,2016-05-21 02:00:00,247.087,26.1,0.0,20.0,0.0,1018.3,1.5,-0.984807753012208,-0.1736481776669303,0.5,2
3387,2016-05-21 03:00:00,252.547,25.0,0.0,20.6,0.0,1018.3,0.0,0.0,1.0,-1.1000000000000014,3
